R,CR,LBY,CLA,DRIVER,TEAM,SCORE,STAT 1,STAT 2,STAT 3,STAT 4,STAT 5,STAT 6,STAT 7,STAT 8
16,9,A,GT,ESV Barcode,ESV Motorsport,91.992,96.43%,94.87%,94.44%,87.50%,85.00%,,,
17,10,A,GT,ESV Green,ESV Motorsport,91.972,97.06%,94.87%,92.11%,89.29%,85.00%,,,
18,8,A,P,DEX CODCAOS,DEXTERITY,91.963,96.97%,96.77%,96.67%,94.12%,90.91%,14.71%,,
19,11,A,GT,SDW Bowtie48,SDW Young Rich and Noble,91.905,100.00%,100.00%,95.00%,75.00%,,,,
20,12,A,GT,THR Delete,THR Baguette,90.599,94.74%,92.86%,92.50%,88.24%,84.62%,,,
21,9,A,P,TNR LuckyVII,TNR eSports - Team Diamonds,90.538,96.88%,94.12%,88.24%,86.67%,83.87%,,,
22,13,A,GT,NDL Unfolded,NDL Black,90.416,97.22%,93.75%,92.31%,86.43%,70.00%,,,
23,10,B,P,ZR RuizRacer,Zephyrus Gold,89.219,94.12%,93.94%,91.18%,83.87%,75.00%,,,
24,14,A,GT,F1R Takashi,Friends 1ˢᵗ Team Nissan,89.162,97.50%,94.12%,87.18%,82.05%,72.14%,,,
25,11,B,P,ZR Villa,Zephyrus Gold,89.053,93.94%,93.75%,91.18%,81.82%,78.23%,,,
